clone_materializer_reference_count,descriptor_count,descriptor_preview_count,descriptor_preview_truncated_count,function_end_va,function_start_va,sample_descriptors,sample_rtti_names,sample_setup_refs,setup_reference_count
2,2,2,0,0x1404bd8f7,0x1404bd692,0x140b92698;0x140b92758,.?AV<lambda_b15266578784aeb52d6a21480cf39ff9>@@;.?AV<lambda_d83ebe70e91f4bcc7b64c52b807a32d2>@@,0x1404bd7db;0x1404bd83a,2
2,2,2,0,0x140679b64,0x140679a30,0x140ba0158;0x140ba0188,.?AV<lambda_968739312a78aeefd0bc6c62fb9ae0c2>@@;.?AV<lambda_d180b1bff533d24dd677bd52a701a7a2>@@,0x140679a49;0x140679a67,2
1,1,1,0,0x140021694,0x140020e60,0x140b5d968,.?AV<lambda_27e487ef86c394af6f790464311f0c50>@@,0x1400214da,1
1,1,1,0,0x140025003,0x140024c40,0x140b69fc0,.?AV<lambda_7e25bf54d1028287aacf057d297202b7>@@,0x140024d4e,1
1,1,1,0,0x14002c536,0x14002c360,0x140b5d7a0,.?AV<lambda_674fa7ffd0b61f89b491e1a051ea952c>@@,0x14002c3a5,1
1,1,1,0,0x14002c716,0x14002c540,0x140b5d740,.?AV<lambda_a3c0db7af6bd5392460f2a090cf4fb89>@@,0x14002c585,1
1,1,1,0,0x14002c8f6,0x14002c720,0x140b5d710,.?AV<lambda_952a79974f0ab22e28adb1be461f2189>@@,0x14002c765,1
1,1,1,0,0x14002cad6,0x14002c900,0x140b5d6e0,.?AV<lambda_e5b80308244ace1b59aa71f4997de2ea>@@,0x14002c945,1
1,1,1,0,0x14002ccb6,0x14002cae0,0x140b5d650,.?AV<lambda_6a5d5bc9cc818e52d5624b8dc8a4a920>@@,0x14002cb25,1
1,1,1,0,0x14002ce9a,0x14002ccc0,0x140b5d5c0,.?AV<lambda_741fee5e8effccbd85616b0383d04962>@@,0x14002cd05,1
1,1,1,0,0x140035c79,0x140035b3d,0x140b5e4c0,.?AV<lambda_fe5b1a208bb9bd7a25ca8d3e6b413cdf>@@,0x140035bc6,1
1,1,1,0,0x1400cecc4,0x1400cdb9e,0x140b69f90,.?AV<lambda_9acbfdfc6bc512808e70051fcea12544>@@,0x1400ce2ef,1
1,1,1,0,0x1400e6dc8,0x1400e6cc0,0x140b67808,.?AV<lambda_b9bfedbeb9b9e2ce42049b44caf2f952>@@,0x1400e6cc8,1
1,1,1,0,0x14011835b,0x140117860,0x140b80938,.?AV<lambda_9bd1de9057e519541869786341502650>@@,0x140117df1,1
1,1,1,0,0x140118ef0,0x140118689,0x140b80998,.?AV<lambda_34e0a220845b10757b6d0954149c5aed>@@,0x140118a11,1
0,1,1,0,0x14017813a,0x1401780e0,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x1401780e6,1
0,1,1,0,0x14017819a,0x140178140,0x140b6a2e0,.P6AAEBUScriptError@game@jag@@AEBV?$shared_ptr@VComponent@ui@jag@@@2@AEBV?$shared_ptr@VInterface@ui@jag@@@2@AEAVClient@2@AEAUScriptState@12@@Z,0x140178146,1
